Município ;Código na SEF-MG;Código TOM-SERPRO
PRESIDENTE BERNARDES;413;6925
PRESIDENTE EPITACIO;414;6927
PRESIDENTE PRUDENTE;415;6929
PRESIDENTE VENCESLAU;416;6931
PROMISSAO;417;6933
QUADRA;622;816
QUATA;418;6935
QUEIROZ;419;6937
QUELUZ;420;6939
QUINTANA;421;6941
RAFARD;422;6943
RANCHARIA;423;6945
REDENCAO DA SERRA;424;6947
REGENTE FEIJO;425;6949
REGINOPOLIS;426;6951
REGISTRO;427;6953
RESTINGA;428;6955
RIBEIRA;429;6957
RIBEIRAO BONITO;430;6959
RIBEIRAO BRANCO;431;6961
RIBEIRAO CORRENTE;432;6963
RIBEIRAO DO SUL;433;6965
RIBEIRAO DOS INDIOS;646;818
RIBEIRAO GRANDE;623;3057
RIBEIRAO PIRES;434;6967
RIBEIRAO PRETO;435;6969
RIFAINA;436;6973
RINCAO;437;6975
RINOPOLIS;438;6977
RIO CLARO;439;6979
RIO DAS PEDRAS;440;6981
RIO GRANDE DA SERRA;441;6983
RIOLANDIA;442;6985
RIVERSUL;443;6971
ROSANA;582;7265
ROSEIRA;444;6987
RUBIACEA;445;6989
RUBINEIA;446;6991
SABINO;447;6993
SAGRES;448;6995
SALES;449;6997
SALES OLIVEIRA;450;6999
SALESOPOLIS;451;7001
SALMOURAO;452;7003
SALTINHO;624;5445
SALTO;453;7005
SALTO DE PIRAPORA;454;7007
SALTO GRANDE;455;7009
SANDOVALINA;456;7011
SANTA ADELIA;457;7013
SANTA ALBERTINA;458;7015
SANTA BARBARA D'OESTE;459;7017
SANTA BRANCA;460;7021
SANTA CLARA D'OESTE;461;7023
SANTA CRUZ DA CONCEICAO;462;7025
SANTA CRUZ DA ESPERANCA;625;820
SANTA CRUZ DAS PALMEIRAS;463;7027
SANTA CRUZ DO RIO PARDO;464;7029
SANTA ERNESTINA;465;7031
SANTA FE DO SUL;466;7033
SANTA GERTRUDES;467;7035
SANTA ISABEL;468;7037
SANTA LUCIA;469;7039
SANTA MARIA DA SERRA;470;7041
SANTA MERCEDES;471;7043
SANTA RITA DO PASSA QUATRO;473;7051
SANTA RITA D'OESTE;472;7049
SANTA ROSA DE VITERBO;474;7053
SANTA SALETE;626;822
SANTANA DA PONTE PENSA;475;7045
SANTANA DE PARNAIBA;476;7047
SANTO ANASTACIO;477;7055
SANTO ANDRE;478;7057
SANTO ANTONIO DA ALEGRIA;479;7059
SANTO ANTONIO DE POSSE;480;7061
SANTO ANTONIO DO ARACANGUA;627;2939
SANTO ANTONIO DO JARDIM;481;7063
SANTO ANTONIO DO PINHAL;482;7065
SANTO EXPEDITO;483;7067
SANTOPOLIS DO AGUAPEI;484;7069
SANTOS;485;7071
SAO BENTO DO SAPUCAI;486;7073
SAO BERNARDO DO CAMPO;487;7075
SAO CAETANO DO SUL;488;7077
SAO CARLOS;489;7079
SAO FRANCISCO;490;7081
SAO JOAO DA BOA VISTA;491;7083
SAO JOAO DAS DUAS PONTES;492;7085
